timestamp,name,cpu,mem,net,block
2026-06-26T20:12:17.0066623+02:00,lu1perf-api-1,0.03%,88.55MiB / 15.16GiB,44.7kB / 83.3kB,0B / 0B
2026-06-26T20:12:17.0066623+02:00,lu1perf-db-1,0.01%,39.94MiB / 15.16GiB,52.2kB / 39.6kB,0B / 0B
2026-06-26T20:12:17.0066623+02:00,lu1perf-rabbitmq-1,88.45%,93.08MiB / 15.16GiB,5.9kB / 28.6kB,0B / 0B
2026-06-26T20:12:19.9147328+02:00,lu1perf-api-1,0.31%,91.08MiB / 15.16GiB,45.4kB / 104kB,0B / 0B
2026-06-26T20:12:19.9147328+02:00,lu1perf-db-1,0.01%,39.94MiB / 15.16GiB,52.2kB / 39.6kB,0B / 0B
2026-06-26T20:12:19.9147328+02:00,lu1perf-rabbitmq-1,0.12%,93.09MiB / 15.16GiB,5.9kB / 28.6kB,0B / 0B
2026-06-26T20:12:23.5584895+02:00,lu1perf-api-1,69.73%,120.5MiB / 15.16GiB,298kB / 1.58MB,0B / 0B
2026-06-26T20:12:23.5584895+02:00,lu1perf-db-1,1.07%,40.35MiB / 15.16GiB,52.2kB / 39.6kB,0B / 0B
2026-06-26T20:12:23.5584895+02:00,lu1perf-rabbitmq-1,16.31%,93.09MiB / 15.16GiB,6.04kB / 28.8kB,0B / 0B
2026-06-26T20:12:27.2535927+02:00,lu1perf-api-1,20.16%,130.4MiB / 15.16GiB,464kB / 2.54MB,0B / 0B
2026-06-26T20:12:27.2535927+02:00,lu1perf-db-1,0.01%,39.97MiB / 15.16GiB,52.2kB / 39.6kB,0B / 0B
2026-06-26T20:12:27.2535927+02:00,lu1perf-rabbitmq-1,0.39%,93.83MiB / 15.16GiB,6.74kB / 41.9kB,0B / 0B
2026-06-26T20:12:30.2972630+02:00,lu1perf-api-1,21.29%,130.5MiB / 15.16GiB,622kB / 3.44MB,0B / 0B
2026-06-26T20:12:30.2972630+02:00,lu1perf-db-1,0.01%,40.02MiB / 15.16GiB,52.2kB / 39.6kB,0B / 0B
2026-06-26T20:12:30.2972630+02:00,lu1perf-rabbitmq-1,0.16%,93.1MiB / 15.16GiB,6.8kB / 42kB,0B / 0B
2026-06-26T20:12:33.9413627+02:00,lu1perf-api-1,20.84%,126.7MiB / 15.16GiB,838kB / 4.72MB,0B / 0B
2026-06-26T20:12:33.9413627+02:00,lu1perf-db-1,5.05%,39.98MiB / 15.16GiB,52.2kB / 39.6kB,0B / 0B
2026-06-26T20:12:33.9413627+02:00,lu1perf-rabbitmq-1,112.59%,93.65MiB / 15.16GiB,6.8kB / 42kB,0B / 0B
2026-06-26T20:12:37.5892964+02:00,lu1perf-api-1,19.52%,97.99MiB / 15.16GiB,1.08MB / 6.15MB,0B / 0B
2026-06-26T20:12:37.5892964+02:00,lu1perf-db-1,0.01%,39.98MiB / 15.16GiB,52.2kB / 39.6kB,0B / 0B
2026-06-26T20:12:37.5892964+02:00,lu1perf-rabbitmq-1,0.37%,93.23MiB / 15.16GiB,6.8kB / 42kB,0B / 0B
2026-06-26T20:12:40.6633149+02:00,lu1perf-api-1,0.10%,97.95MiB / 15.16GiB,1.25MB / 7.13MB,0B / 0B
2026-06-26T20:12:40.6633149+02:00,lu1perf-db-1,1.62%,39.97MiB / 15.16GiB,52.2kB / 39.6kB,0B / 0B
2026-06-26T20:12:40.6633149+02:00,lu1perf-rabbitmq-1,2.04%,95.2MiB / 15.16GiB,7.5kB / 55.2kB,0B / 0B
