timestamp,name,cpu,mem,net,block
2026-06-26T20:10:52.7198825+02:00,lu1runtime-api-1,9.55%,111.9MiB / 15.16GiB,160kB / 828kB,0B / 0B
2026-06-26T20:10:52.7198825+02:00,lu1runtime-db-1,0.00%,43.19MiB / 15.16GiB,58.3kB / 49.7kB,0B / 0B
2026-06-26T20:10:52.7198825+02:00,lu1runtime-rabbitmq-1,2.01%,95.65MiB / 15.16GiB,18.9kB / 229kB,0B / 0B
2026-06-26T20:10:56.3451451+02:00,lu1runtime-api-1,49.32%,115.6MiB / 15.16GiB,189kB / 1MB,0B / 0B
2026-06-26T20:10:56.3451451+02:00,lu1runtime-db-1,0.00%,43.23MiB / 15.16GiB,59.7kB / 52kB,0B / 0B
2026-06-26T20:10:56.3451451+02:00,lu1runtime-rabbitmq-1,117.14%,172.1MiB / 15.16GiB,18.9kB / 229kB,0B / 0B
2026-06-26T20:11:00.0739878+02:00,lu1runtime-api-1,18.61%,120.9MiB / 15.16GiB,338kB / 1.97MB,0B / 0B
2026-06-26T20:11:00.0739878+02:00,lu1runtime-db-1,1.15%,43.23MiB / 15.16GiB,59.8kB / 52.1kB,0B / 0B
2026-06-26T20:11:00.0739878+02:00,lu1runtime-rabbitmq-1,0.11%,95.06MiB / 15.16GiB,19kB / 229kB,0B / 0B
2026-06-26T20:11:03.8247794+02:00,lu1runtime-api-1,18.77%,129.2MiB / 15.16GiB,614kB / 3.79MB,0B / 0B
2026-06-26T20:11:03.8247794+02:00,lu1runtime-db-1,0.00%,43.23MiB / 15.16GiB,59.8kB / 52.1kB,0B / 0B
2026-06-26T20:11:03.8247794+02:00,lu1runtime-rabbitmq-1,2.80%,95.21MiB / 15.16GiB,19kB / 229kB,0B / 0B
2026-06-26T20:11:07.6140942+02:00,lu1runtime-api-1,12.96%,133.1MiB / 15.16GiB,747kB / 4.64MB,0B / 0B
2026-06-26T20:11:07.6140942+02:00,lu1runtime-db-1,0.00%,43.22MiB / 15.16GiB,59.8kB / 52.1kB,0B / 0B
2026-06-26T20:11:07.6140942+02:00,lu1runtime-rabbitmq-1,0.12%,95.21MiB / 15.16GiB,19kB / 229kB,0B / 0B
2026-06-26T20:11:10.7036178+02:00,lu1runtime-api-1,24.46%,139.3MiB / 15.16GiB,955kB / 5.98MB,0B / 0B
2026-06-26T20:11:10.7036178+02:00,lu1runtime-db-1,1.38%,43.23MiB / 15.16GiB,59.8kB / 52.1kB,0B / 0B
2026-06-26T20:11:10.7036178+02:00,lu1runtime-rabbitmq-1,0.79%,96.32MiB / 15.16GiB,19.7kB / 243kB,0B / 0B
2026-06-26T20:11:14.4029945+02:00,lu1runtime-api-1,22.53%,143.6MiB / 15.16GiB,1.09MB / 6.88MB,0B / 0B
2026-06-26T20:11:14.4029945+02:00,lu1runtime-db-1,0.00%,43.23MiB / 15.16GiB,59.8kB / 52.1kB,0B / 0B
2026-06-26T20:11:14.4029945+02:00,lu1runtime-rabbitmq-1,86.40%,169MiB / 15.16GiB,19.8kB / 243kB,0B / 0B
2026-06-26T20:11:18.1053317+02:00,lu1runtime-api-1,17.07%,150.4MiB / 15.16GiB,1.33MB / 8.43MB,0B / 0B
2026-06-26T20:11:18.1053317+02:00,lu1runtime-db-1,0.00%,43.23MiB / 15.16GiB,59.8kB / 52.1kB,0B / 0B
2026-06-26T20:11:18.1053317+02:00,lu1runtime-rabbitmq-1,0.15%,95.44MiB / 15.16GiB,19.8kB / 243kB,0B / 0B
